,,,	〇
nne	架
nnf	寛
nng	招
nnh	巳
nni	弓
nnj	班
nnk	妄
nnl	怖
nnm	糾
nnn	＼
nno	骸
nnp	棺
nnq	祖
nnr	斉
nns	被
nnt	潜
nnu	乃
nnv	浴
nnw	也
nnx	貞
nny	慨
nnz	浄
no	師
np	吸
nq	早
nr	知
ns	強
nt	電
nu	柄
nv	近
nw	等
nx	算
ny	雅
nz	愛
o,	紀
o.	執
o/	構
o;	遅
oa	。
ob	書
oc	用
od	ぜ
oe	』
of	げ
og	ぇ
oh	講
oi	底
oj	町
ok	推
ol	比
om	像
on	黄
oo,	簿
oo.	胃
oo/	秒
oo;	哉
ooa	克
oob	壊
ooc	枝
ood	濃
ooe	係
oof	奥
oog	智
ooh	矯
ooi	凸
ooj	賄
ook	臓
ool	鉛
oom	賊
oon	翻
ooo	ヶ
oop	挟
ooq	劇
oor	訪
oos	腐
oot	景
oou	勿
oov	凍
oow	献
oox	緒
ooy	蜂
ooz	仏
op	準
oq	）
or	ぺ
os	で
ot	べ
ou	史
ov	平
ow	〉
ox	外
oy	因
oz	化
p,	既
p.	象
p/	往
p;	惨
pa	…
pb	着
pc	発
pd	ぞ
pe	ょ
pf	ご
pg	ぉ
ph	才
pi	陰
pj	辛
pk	権
pl	繰
pm	費
pn	処
po	福
pp,	圏
pp.	閲
pp/	皿
pp;	岳
ppa	砲
ppb	勘
ppc	寸
ppd	幾
ppe	惜
ppf	毎
ppg	刺
pph	猪
ppi	暢
ppj	薦
ppk	豚
ppl	臆
ppm	殻
ppn	呪
ppo	慕
ppp	※
ppq	縦
ppr	皆
pps	謹
ppt	宇
ppu	宵
ppv	邦
ppw	浸
ppx	箱
ppy	瓜
ppz	範
pq	‥
pr	ぽ
ps	ど
pt	ぼ
pu	省
pv	金
pw	ゞ
px	有
py	料
pz	言
q,	代
q.	差
q/	島
q;	ヲ
qa	屈
qb	習
qc	訳
qd	焼
qe	装
qf	席
qg	護
qh	ワ
qi	ヴ
qj	ヰ
qk	！
ql	ヱ
qm	線
qn	石
qo	〕
qp	‐
qq,	窓
qq.	拭
qq/	懲
qq;	捻
qqa	粒
qqb	阪
qqc	昌
qqd	剣
qqe	湖
qqf	粛
qqg	核
qqh	撤
qqi	芽
qqj	紫
qqk	摂
qql	胎
qqm	彼
qqn	搬
qqo	墓
qqp	爽
qqq	◆
qqr	砕
qqs	炭
qqt	雀
qqu	墨
qqv	噴
qqw	偉
qqx	募
qqy	契
qqz	殖
qr	帰
qs	使
qt	混
qu	〔
qv	倒
qw	圧
qx	認
qy	ヮ
qz	息
r,	後
r.	性
r/	海
r;	モ
ra	傷
rb	負
rc	弾
rd	待
re	渡
rf	熟
rg	列
rh	マ
ri	プ
rj	ミ
rk	ム
rl	メ
rm	風
rn	主
ro	ペ
rp	ポ
rq	折
rr,	瞭
rr.	唯
rr/	怒
rr;	搾
rra	酔
rrb	凝
rrc	悔
rrd	糖
rre	州
rrf	畳
rrg	餅
rrh	駐
rri	漠
rrj	稚
rrk	祐
rrl	毅
rrm	飼
rrn	握
rro	環
rrp	鎖
rrq	普
rrr	△
rrs	励
rrt	鬼
rru	岐
rrv	序
rrw	衰
rrx	駄
rry	薫
rrz	雷
rs	容
rt	聞
ru	ピ
rv	勤
rw	談
rx	払
ry	パ
rz	去
s,	人
s.	野
s/	真
s;	ト
sa	越
sb	注
sc	校
sd	深
se	寄
sf	議
sg	応
sh	タ
si	ヅ
sj	チ
sk	ツ
sl	テ
sm	自
sn	川
so	デ
sp	ド
sq	厚
sr	少
ss,	辱
ss.	附
ss/	促
ss;	滝
ssa	憲
ssb	棚
ssc	籍
ssd	牧
sse	将
ssf	庫
ssg	棄
ssh	壁
ssi	幻
ssj	己
ssk	掃
ssl	杜
ssm	垣
ssn	癖
sso	抵
ssp	溶
ssq	枚
ssr	凡
sss	←
sst	凄
ssu	箇
ssv	拍
ssw	施
ssx	逐
ssy	謙
ssz	伐
st	造
su	ヂ
sv	存
sw	走
sx	伝
sy	ダ
sz	続
t,	部
t.	道
t/	清
t;	ホ
ta	布
tb	害
tc	聴
td	巻
te	住
tf	守
tg	移
th	ハ
ti	ブ
tj	ヒ
tk	フ
tl	ヘ
tm	天
tn	可
to	ベ
tp	ボ
tq	撃
tr	略
ts	礼
tt,	刃
tt.	喪
tt/	捜
tt;	悶
tta	蹴
ttb	慎
ttc	網
ttd	輸
tte	頃
ttf	刷
ttg	譜
tth	癒
tti	尋
ttj	葛
ttk	択
ttl	履
ttm	亀
ttn	胴
tto	乙
ttp	弄
ttq	犬
ttr	衛
tts	鉱
ttt	◇
ttu	瓶
ttv	猟
ttw	厭
ttx	逝
tty	伴
ttz	唐
tu	ビ
tv	考
tw	案
tx	敗
ty	バ
tz	延
u,	洗
u.	滑
u/	干
u;	若
ua	、
ub	新
uc	地
ud	じ
ue	『
uf	ぎ
ug	ぃ
uh	鳥
ui	客
uj	以
uk	誤
ul	雪
um	酒
un	歯
uo	率
up	百
uq	（
ur	ぴ
us	ぢ
ut	び
uu,	汁
uu.	暦
uu/	抽
uu;	努
uua	梅
uub	償
uuc	虐
uud	妻
uue	脳
uuf	寿
uug	粋
uuh	僅
uui	禅
uuj	掻
uuk	痴
uul	雇
uum	鋳
uun	捲
uuo	剰
uup	峻
uuq	針
uur	稲
uus	脈
uut	煩
uuu	〃
uuv	傾
uuw	験
uux	豆
uuy	菊
uuz	佳
uv	重
uw	〈
ux	名
uy	階
uz	食
v,	吉
v.	老
v/	松
v;	元
va	踏
vb	賞
vc	与
vd	敵
ve	刻
vf	請
vg	揚
vh	親
vi	初
vj	者
vk	半
vl	何
vm	角
vn	骨
vo	奇
vp	路
vq	損
vr	惑
vs	欲
vt	祝
vu	追
vv,	陶
vv.	吐
vv/	抄
vv;	据
vva	糸
vvb	陳
vvc	柳
vvd	枯
vve	憤
vvf	喧
vvg	燃
vvh	販
vvi	遍
vvj	洞
vvk	粘
vvl	駅
vvm	棲
vvn	汗
vvo	軸
vvp	旗
vvq	隣
vvr	預
vvs	匹
vvt	魂
vvu	偶
vvv	▽
vvw	膨
vvx	第
vvy	眉
vvz	柱
vw	資
vx	挙
vy	順
vz	束
w,	時
w.	先
w/	東
w;	ロ
wa	秘
wb	営
wc	覚
wd	除
we	位
wf	腹
wg	設
wh	ラ
wi	ッ
wj	リ
wk	ル
wl	レ
wm	連
wn	機
wo	》
wp	ヾ
wq	印
wr	価
ws	服
wt	栄
wu	《
wv	証
ww,	丘
ww.	獄
ww/	尖
ww;	漂
wwa	仰
wwb	拘
wwc	哲
wwd	腸
wwe	峰
wwf	奔
wwg	罰
wwh	顕
wwi	呂
wwj	鶴
wwk	騎
wwl	狩
wwm	衡
wwn	零
wwo	倫
wwp	渇
wwq	那
wwr	羅
wws	耕
wwt	昨
wwu	亜
wwv	旋
www	▲
wwx	徴
wwy	菌
wwz	床
wx	示
wy	ヽ
wz	答
x,	十
x.	厳
x/	市
x;	夫
xa	録
xb	導
xc	締
xd	舞
xe	訴
xf	妙
xg	称
xh	井
xi	音
xj	西
xk	頭
xl	極
xm	戸
xn	女
xo	津
xp	末
xq	賛
xr	烈
xs	介
xt	埋
xu	端
xv	呼
xw	謝
xx,	卵
xx.	祈
xx/	桑
xx;	怯
xxa	溜
xxb	君
xxc	祭
xxd	看
xxe	頓
xxf	姦
xxg	弦
xxh	瞬
xxi	霧
xxj	澄
xxk	幡
xxl	輩
xxm	晦
xxn	督
xxo	宛
xxp	孔
xxq	抑
xxr	惚
xxs	輝
xxt	壇
xxu	礁
xxv	療
xxw	株
xxx	▼
xxy	奨
xxz	昼
xy	世
xz	航
y,	喜
y.	界
y/	敬
y;	浮
ya	～
yb	和
yc	目
yd	ざ
ye	ゃ
yf	が
yg	ぁ
yh	裏
yi	王
yj	顔
yk	俗
yl	背
ym	震
yn	簡
yo	伊
yp	露
yq	ゎ
yr	ぱ
ys	だ
yt	ば
yu	院
yv	学
yw	ゝ
yx	定
yy,	匠
yy.	貌
yy/	繊
yy;	芦
yya	聖
yyb	襲
yyc	塚
yyd	徒
yye	耐
yyf	途
yyg	歳
yyh	堕
yyi	腺
yyj	撲
yyk	駿
yyl	喚
yym	獣
yyn	轄
yyo	羨
yyp	柏
yyq	卓
yyr	港
yys	崩
yyt	迎
yyu	杓
yyv	遇
yyw	猛
yyx	賢
yyy	ヵ
yyz	双
yz	来
z,	郎
z.	器
z/	低
z;	土
za	湿
zb	帯
zc	宿
zd	唱
ze	闘
zf	遊
zg	疑
zh	保
zi	久
zj	南
zk	北
zl	健
zm	民
zn	純
zo	病
zp	太
zq	願
zr	求
zs	酷
zt	責
zu	沢
zv	属
zw	却
zx	笑
zy	八
zz,	絞
zz.	唾
zz/	辰
zz;	庄
zza	括
zzb	誠
zzc	革
zzd	錯
zze	扱
zzf	袋
zzg	紋
zzh	妥
zzi	玄
zzj	恭
zzk	脇
zzl	汎
zzm	繕
zzn	笠
zzo	漸
zzp	沿
zzq	控
zzr	縛
zzs	脂
zzt	弔
zzu	郵
zzv	泳
zzw	畑
zzx	巣
zzy	弥
zzz	■
